idx,imu_Timestamp[sec],mag_Timestamp[sec],accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[deg/s],gyroY[deg/s],gyroZ[deg/s],magX[uT],magY[uT],magZ[uT],orX[deg],orY[deg],orZ[deg],moving, 
892,2.258921000,2.245931000,-0.414455831,0.026473837,9.752616882,0.591100991,0.729460061,0.922581732,-1.000000000,-4.250000000,-4.625000000,-89.500953674,-0.014384997,-0.725094736,1.000000000,
894,2.263948000,2.245931000,-0.209456429,-0.104566440,9.538352966,-0.877758801,-0.039752789,0.622204900,-1.000000000,-4.250000000,-4.625000000,-89.507583618,-0.010400141,-0.735877156,1.000000000,
896,2.268911000,2.265892000,0.083014123,-0.094932660,9.555032730,-1.402797341,0.043124583,-0.950932264,-1.000000000,-4.250000000,-4.625000000,-89.520690918,-0.013500042,-0.742445230,1.000000000,
898,2.273915000,2.265892000,0.086893886,0.114702925,9.829125404,-0.835822582,-0.019306418,-1.044158459,-1.000000000,-4.250000000,-4.625000000,-89.533554077,-0.019605627,-0.743625879,1.000000000,
900,2.278905000,2.265892000,-0.170386821,0.343335599,10.117463112,0.046914015,-0.319575131,0.464432597,-1.000000000,-4.250000000,-4.625000000,-89.539642334,-0.018856371,-0.735709071,1.000000000,
902,2.283933000,2.265892000,-0.265721202,0.417230666,10.222161293,1.426776886,0.417967469,0.824385166,-1.000000000,-4.250000000,-4.625000000,-89.526298523,-0.014459616,-0.737667859,1.000000000,
903,2.286912000,2.265892000,-0.194182545,0.357687593,10.155437469,1.513027668,0.670501649,0.470396906,-1.000000000,-4.250000000,-4.625000000,-89.518569946,-0.013299006,-0.739544094,1.000000000,
905,2.291929000,2.285909000,0.053190805,0.112371884,9.805192947,0.280475229,-0.282612324,-0.042249698,-0.937500000,-4.250000000,-4.625000000,-89.507270813,-0.012933751,-0.740608156,1.000000000,
907,2.296932000,2.285909000,0.174046412,-0.061490253,9.550215721,-0.651135147,-0.554580092,-0.457635850,-0.937500000,-4.250000000,-4.625000000,-89.502449036,-0.014968065,-0.733134329,1.000000000,
908,2.299937000,2.285909000,0.130959421,-0.054358538,9.559747696,-0.533821762,-0.179068998,-0.720777214,-0.937500000,-4.250000000,-4.625000000,-89.500747681,-0.016686490,-0.729082465,1.000000000,
910,2.303921000,2.285909000,-0.105494373,0.052762069,9.709874153,0.309806049,0.526552737,-0.209493324,-0.937500000,-4.250000000,-4.625000000,-89.494506836,-0.018993523,-0.723367453,1.000000000,
911,2.306925000,2.285909000,-0.213096678,0.088461310,9.755150795,0.437709510,0.330054343,0.590491176,-0.937500000,-4.250000000,-4.625000000,-89.490364075,-0.017722007,-0.720146477,1.000000000,
913,2.311918000,2.305902000,-0.232352823,0.050436296,9.750133514,0.351761520,-0.233820349,1.058982015,-1.000000000,-4.250000000,-4.562500000,-89.481201172,-0.012397782,-0.713707805,1.000000000,
915,2.316925000,2.305902000,-0.033847373,-0.078200877,9.673877716,-0.052865140,0.158794105,-0.480665237,-1.000000000,-4.250000000,-4.562500000,-89.474609375,-0.012518424,-0.707648337,1.000000000,
917,2.321915000,2.305902000,0.016152218,-0.154616565,9.597976685,-1.194724202,-0.515816748,-0.989720225,-1.000000000,-4.250000000,-4.562500000,-89.479904175,-0.017673802,-0.695263386,1.000000000,
919,2.326918000,2.305902000,-0.208382756,-0.030794226,9.736188889,-1.276235104,-0.431723952,-0.244134650,-1.000000000,-4.250000000,-4.562500000,-89.492515564,-0.019536326,-0.685005963,1.000000000,
