idx,imu_Timestamp[sec],mag_Timestamp[sec],accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[deg/s],gyroY[deg/s],gyroZ[deg/s],magX[uT],magY[uT],magZ[uT],orX[deg],orY[deg],orZ[deg],moving, 
50901,128.739776000,128.744747000,0.421975315,4.578613758,8.362328529,-75.544105530,-15.136753082,5.876623631,-1.062500000,-1.937500000,-4.375000000,-57.327896118,-1.484799147,-1.426223993,1.000000000,
50903,128.744836000,128.744747000,-0.322742343,5.169591904,8.476711273,-73.313270569,-6.670247078,3.633532524,-1.125000000,-2.000000000,-4.437500000,-57.708759308,-1.489360929,-1.355477452,1.000000000,
50905,128.749896000,128.744747000,-0.391392618,5.989158630,9.527597427,-66.251861572,13.256377220,-12.459785461,-1.125000000,-2.000000000,-4.437500000,-58.043399811,-1.508128285,-1.424528599,1.000000000,
50907,128.754956000,128.744747000,-0.790173829,5.658247471,8.459980011,-76.741500854,-5.027879238,7.067880154,-1.125000000,-2.000000000,-4.437500000,-58.413116455,-1.498577714,-1.427047491,1.000000000,
50909,128.760016000,128.764987000,-0.308442146,5.727302074,8.910359383,-72.613304138,-7.805823803,4.952714443,-1.125000000,-2.000000000,-4.437500000,-58.789482117,-1.491800547,-1.360439777,1.000000000,
50910,128.762546000,128.764987000,0.205797672,6.258517265,10.058947563,-66.079429626,2.403554201,-6.008235931,-1.125000000,-2.187500000,-4.437500000,-58.955631256,-1.501516581,-1.372289777,1.000000000,
50912,128.767606000,128.764987000,0.157030925,6.484649658,10.802280426,-61.315551758,2.600497484,-7.787209988,-1.125000000,-2.187500000,-4.437500000,-59.260688782,-1.536797285,-1.417644978,1.000000000,
50914,128.772666000,128.764987000,-1.172046661,5.319431782,8.760081291,-69.097618103,-12.724563599,12.898447990,-1.125000000,-2.187500000,-4.437500000,-59.594242096,-1.520488977,-1.356586933,1.000000000,
50916,128.777726000,128.764987000,-1.166341305,4.451888084,8.031046867,-62.054824829,2.707477093,1.235079288,-1.125000000,-2.187500000,-4.437500000,-59.919616699,-1.506191969,-1.327491760,1.000000000,
50917,128.780256000,128.785227000,-0.680119991,4.173127651,7.978621483,-62.019149780,11.228638649,-4.982840538,-1.125000000,-2.187500000,-4.437500000,-60.075134277,-1.502665043,-1.359273911,1.000000000,
50919,128.785316000,128.785227000,0.124188617,3.277588129,6.915719032,-74.011291504,-1.120768189,1.900654912,-1.125000000,-2.250000000,-4.500000000,-60.431835175,-1.503742576,-1.378681660,1.000000000,
50921,128.790376000,128.785227000,0.619842589,2.927317858,6.834697723,-73.994018555,-8.200295448,4.508236408,-1.125000000,-2.250000000,-4.500000000,-60.808593750,-1.494133949,-1.332849860,1.000000000,
50923,128.795436000,128.785227000,0.779898942,3.741821289,8.524219513,-66.960556030,1.647894740,-9.971999168,-1.125000000,-2.250000000,-4.500000000,-61.157112122,-1.529124498,-1.339704275,1.000000000,
50925,128.800496000,128.805467000,-0.388818830,4.108496189,8.674345016,-70.930564880,-1.780006886,-0.625152349,-1.125000000,-2.250000000,-4.500000000,-61.504726410,-1.544378161,-1.352972031,1.000000000,
50927,128.805556000,128.805467000,-1.415041924,4.151408672,8.140460968,-75.831748962,-4.920588970,8.284424782,-1.062500000,-2.312500000,-4.562500000,-61.882770538,-1.526202679,-1.308330774,1.000000000,
50929,128.810616000,128.805467000,-0.581057191,4.580367088,9.029305458,-68.649047852,6.914560318,-3.728316784,-1.062500000,-2.312500000,-4.562500000,-62.234649658,-1.518451095,-1.332097054,1.000000000,
50931,128.815676000,128.805467000,0.469750613,4.609214306,9.234291077,-74.033737183,0.059131924,-3.111630917,-1.062500000,-2.312500000,-4.562500000,-62.593658447,-1.532230496,-1.358957767,1.000000000,
50932,128.818206000,128.805467000,0.603305638,4.606950283,9.112759590,-76.425460815,-8.117250443,0.802895606,-1.062500000,-2.312500000,-4.562500000,-62.785633087,-1.539519548,-1.339049578,1.000000000,
50934,128.823266000,128.825707000,0.081576541,5.211775303,10.139816284,-69.399703979,-5.208636284,-2.318788052,-1.125000000,-2.437500000,-4.562500000,-63.148139954,-1.561766744,-1.301201224,1.000000000,
50936,128.828326000,128.825707000,-1.012931585,5.856927395,11.166873932,-60.599529266,4.304229259,-2.618841410,-1.125000000,-2.437500000,-4.562500000,-63.462100983,-1.570597649,-1.323626637,1.000000000,
50938,128.833386000,128.825707000,-1.482007742,5.075413227,9.949179649,-65.039222717,-1.996916175,10.707187653,-1.125000000,-2.437500000,-4.562500000,-63.778865814,-1.538648248,-1.309611678,1.000000000,
50940,128.838446000,128.825707000,-0.020669114,3.715315342,8.502772331,-65.845413208,-2.359271049,2.523022652,-1.125000000,-2.437500000,-4.562500000,-64.109550476,-1.514471412,-1.285709143,1.000000000,
50942,128.843506000,128.845947000,1.439576030,2.781631231,7.747372627,-68.812919617,0.500541270,-9.710333824,-1.125000000,-2.500000000,-4.562500000,-64.451492310,-1.551271439,-1.302773476,1.000000000,
50944,128.848566000,128.845947000,0.612599313,2.469288111,7.273113251,-74.100402832,-6.280414581,-0.076495953,-1.125000000,-2.500000000,-4.562500000,-64.818252563,-1.574703693,-1.287491560,1.000000000,
50946,128.853626000,128.845947000,-0.990850985,3.126271725,8.138127327,-71.126625061,-1.300444961,3.310743093,-1.125000000,-2.500000000,-4.562500000,-65.179718018,-1.565418482,-1.260521412,1.000000000,
50948,128.858686000,128.845947000,-1.100345135,3.757471800,9.169950485,-65.534843445,6.866456509,-0.472573698,-1.125000000,-2.500000000,-4.562500000,-65.512718201,-1.553420067,-1.286893010,1.000000000,
50949,128.861216000,128.866187000,-0.617070794,3.667134285,9.015057564,-68.096527100,3.472318888,0.862172067,-1.125000000,-2.500000000,-4.562500000,-65.683769226,-1.547915339,-1.294568181,1.000000000,
50951,128.866276000,128.866187000,0.612718821,3.031426907,8.185837746,-73.885696411,-7.282404900,0.562836647,-1.125000000,-2.625000000,-4.562500000,-66.055786133,-1.551702380,-1.267523289,1.000000000,
50953,128.871336000,128.866187000,0.882656932,3.172033548,8.469410896,-72.885383606,-2.750283241,-7.115485191,-1.125000000,-2.625000000,-4.562500000,-66.424057007,-1.583704710,-1.255371213,1.000000000,
50955,128.876396000,128.866187000,-0.493109226,4.010259628,9.332143784,-72.301116943,0.180681229,-3.268074274,-1.125000000,-2.625000000,-4.562500000,-66.791664124,-1.610224605,-1.262312412,1.000000000,
50957,128.881456000,128.886427000,-1.759577751,4.655547619,10.023203850,-71.132080078,1.249392033,7.959458351,-1.125000000,-2.625000000,-4.562500000,-67.146766663,-1.582060575,-1.260241389,1.000000000,
50959,128.886516000,128.886427000,-0.965398133,4.834272385,10.638057709,-66.212608337,0.636920989,1.287950635,-1.125000000,-2.750000000,-4.625000000,-67.484100342,-1.564462423,-1.257667303,1.000000000,
50961,128.891576000,128.886427000,0.475542665,4.219832897,10.304443359,-64.561462402,-2.260805607,-3.196047783,-1.125000000,-2.750000000,-4.625000000,-67.806350708,-1.578805566,-1.263542891,1.000000000,
50963,128.896636000,128.886427000,0.581616580,3.295470238,9.081983566,-69.160171509,-7.265540600,0.745688736,-1.125000000,-2.750000000,-4.625000000,-68.149230957,-1.591836214,-1.227306604,1.000000000,
50965,128.901696000,128.906667000,-0.357603073,3.097466946,8.679262161,-69.360923767,-1.113804579,-2.112100840,-1.125000000,-2.750000000,-4.625000000,-68.499443054,-1.600455403,-1.214272261,1.000000000,
50966,128.904226000,128.906667000,-0.838340282,3.168715239,8.860367775,-68.551551819,3.670957804,-2.584367037,-1.125000000,-2.812500000,-4.562500000,-68.671920776,-1.603109241,-1.225071430,1.000000000,
50968,128.909286000,128.906667000,-1.056734681,3.011303186,8.803176880,-67.422660828,3.013302326,5.166997433,-1.125000000,-2.812500000,-4.562500000,-69.010643005,-1.577792287,-1.244053125,1.000000000,
50970,128.914346000,128.906667000,0.040738642,2.615918398,8.774581909,-71.192611694,-4.247602463,3.120651245,-1.125000000,-2.812500000,-4.562500000,-69.367858887,-1.563589692,-1.217646360,1.000000000,
50972,128.919406000,128.906667000,1.185554743,2.466012239,9.088981628,-66.272644043,-1.902863145,-6.663402081,-1.125000000,-2.812500000,-4.562500000,-69.706779480,-1.586491227,-1.215348244,1.000000000,
50974,128.924466000,128.926907000,0.456400990,2.306326151,8.531367302,-73.096076965,-4.123133183,-1.509525776,-1.125000000,-2.875000000,-4.625000000,-70.064102173,-1.611984730,-1.204948664,1.000000000,
50976,128.929526000,128.926907000,-0.850076437,2.489410877,8.460029602,-75.218841553,-1.636222482,3.625969410,-1.125000000,-2.875000000,-4.625000000,-70.442054749,-1.604292512,-1.182845473,1.000000000,
50978,128.934586000,128.926907000,-0.889532685,3.211182117,9.591938019,-71.460891724,7.977615833,-1.317169428,-1.125000000,-2.875000000,-4.625000000,-70.805732727,-1.590895653,-1.214744687,1.000000000,
50980,128.939646000,128.926907000,-0.054417033,3.442404985,10.247201920,-68.963012695,-1.809683561,-1.142138958,-1.125000000,-2.875000000,-4.625000000,-71.157478333,-1.600892305,-1.223175168,1.000000000,
50982,128.944706000,128.947147000,0.528536975,3.416323900,10.356818199,-71.005020142,-9.416759491,1.856048703,-1.125000000,-3.000000000,-4.625000000,-71.513793945,-1.599629760,-1.179889441,1.000000000,
50983,128.947236000,128.947147000,0.539236546,3.583108902,10.564136505,-67.130424500,-6.113034248,-2.462935448,-1.125000000,-3.000000000,-4.625000000,-71.681846619,-1.610367417,-1.165861845,1.000000000,
50985,128.952296000,128.947147000,-0.231289402,3.494743824,10.335371971,-64.509117126,3.469956398,-4.692336559,-1.125000000,-3.000000000,-4.625000000,-72.002395630,-1.628292203,-1.183147073,1.000000000,
50987,128.957356000,128.947147000,-1.211146712,2.915894270,9.072097778,-70.260795593,-1.926607251,6.094333172,-1.125000000,-3.000000000,-4.625000000,-72.349449158,-1.614847422,-1.172406912,1.000000000,
50989,128.962416000,128.967387000,-0.823133528,2.627555609,9.029205322,-69.158706665,0.100058809,2.665110350,-1.125000000,-3.000000000,-4.625000000,-72.700317383,-1.590455055,-1.164317608,1.000000000,
50991,128.967476000,128.967387000,0.337843955,2.720466137,9.658559799,-65.901229858,2.743253469,-3.385714531,-1.062500000,-3.125000000,-4.625000000,-73.032363892,-1.602490067,-1.184294581,1.000000000,
50993,128.972536000,128.967387000,0.527905643,2.358298302,9.348774910,-68.317276001,-7.834161282,1.387666464,-1.062500000,-3.125000000,-4.625000000,-73.373146057,-1.612068057,-1.162161827,1.000000000,
50995,128.977596000,128.967387000,-0.030224182,2.053085327,8.948536873,-68.250198364,-3.426580667,1.420035720,-1.062500000,-3.125000000,-4.625000000,-73.717346191,-1.609784126,-1.130188584,1.000000000,
50997,128.982656000,128.987627000,-0.424169481,1.971974492,8.779347420,-68.442146301,4.117785931,-3.590404749,-1.062500000,-3.125000000,-4.625000000,-74.061920166,-1.618735075,-1.146385193,1.000000000,
50999,128.987716000,128.987627000,-0.610381365,1.688354850,8.467179298,-74.493865967,0.160423011,1.296589851,-1.125000000,-3.187500000,-4.625000000,-74.432472229,-1.616914511,-1.155069232,1.000000000,
51000,128.990246000,128.987627000,-0.455849499,1.821807265,8.681645393,-75.846832275,-3.500402451,3.870803595,-1.125000000,-3.187500000,-4.625000000,-74.622978210,-1.609640479,-1.144163609,1.000000000,
51002,128.995306000,128.987627000,0.149818093,2.322020292,9.896956444,-69.836380005,0.563453317,-2.085745573,-1.125000000,-3.187500000,-4.625000000,-74.981178284,-1.611111879,-1.138313293,1.000000000,
51004,129.000366000,128.987627000,0.299568444,2.681766987,10.564086914,-66.878028870,-1.647248149,-4.632913113,-1.125000000,-3.187500000,-4.625000000,-75.320236206,-1.633818746,-1.139650702,1.000000000,
51006,129.005426000,129.007867000,-0.386575043,2.426736832,9.982643127,-70.438102722,-5.004092693,3.909239292,-1.062500000,-3.312500000,-4.562500000,-75.669639587,-1.629728675,-1.113251686,1.000000000,
51008,129.010486000,129.007867000,-0.665750325,2.248012781,9.770407677,-69.208457947,0.589527190,0.738093495,-1.062500000,-3.312500000,-4.562500000,-76.019454956,-1.621037602,-1.102325797,1.000000000,
