idx,imu_Timestamp[sec],mag_Timestamp[sec],accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[deg/s],gyroY[deg/s],gyroZ[deg/s],magX[uT],magY[uT],magZ[uT],orX[deg],orY[deg],orZ[deg],moving, 
2685,6.796508000,6.780839000,0.108034641,0.302617162,10.644047737,3.348190784,-2.387255192,21.366746902,-0.625000000,-4.500000000,-4.375000000,-89.468482971,16.962146759,-0.728959680,1.000000000,
2687,6.801568000,6.780839000,0.212403074,-0.252249330,9.550267220,0.909759104,0.402883351,22.163522720,-0.625000000,-4.500000000,-4.375000000,-89.458106995,17.072158813,-0.732056499,1.000000000,
2689,6.806628000,6.801079000,0.255477279,-0.654989600,9.085740089,-2.922008276,1.292551637,18.745157242,-0.625000000,-4.562500000,-4.375000000,-89.474136353,17.169139862,-0.735572696,1.000000000,
2690,6.809158000,6.801079000,0.236291975,-0.588233650,9.083357811,-3.059239626,4.357658863,19.444007874,-0.625000000,-4.562500000,-4.375000000,-89.484077454,17.217823029,-0.745219409,1.000000000,
2692,6.814218000,6.801079000,0.185278639,-0.152370229,9.848287582,-2.799305201,-1.417013526,19.420291901,-0.625000000,-4.562500000,-4.375000000,-89.503265381,17.317132950,-0.743234217,1.000000000,
2694,6.819278000,6.801079000,0.173138618,0.531493843,10.717919350,1.481795549,1.112103701,22.438272476,-0.625000000,-4.562500000,-4.375000000,-89.502304077,17.425609589,-0.739464521,1.000000000,
2696,6.824338000,6.821319000,0.325184315,0.705489099,10.915704727,4.448054790,-0.703430414,20.551382065,-0.625000000,-4.562500000,-4.375000000,-89.479484558,17.528255463,-0.728031516,1.000000000,
2698,6.829398000,6.821319000,0.434613407,0.107652314,9.869634628,1.149843097,0.339019686,22.250602722,-0.625000000,-4.562500000,-4.375000000,-89.458213806,17.637681961,-0.726947963,1.000000000,
2700,6.834458000,6.821319000,0.515604794,-0.506896079,8.885470390,-0.740457714,-1.417658687,19.081674576,-0.625000000,-4.562500000,-4.375000000,-89.461051941,17.737031937,-0.706045151,1.000000000,
2702,6.839518000,6.821319000,0.221631050,-0.528599441,9.030932426,-3.062535048,2.187803030,16.675548553,-0.625000000,-4.562500000,-4.375000000,-89.476730347,17.824411392,-0.709852397,1.000000000,
2704,6.844578000,6.841559000,-0.466932654,0.035793722,9.783948898,-1.771779656,0.651318312,20.158185959,-0.625000000,-4.562500000,-4.375000000,-89.491043091,17.919622421,-0.703100264,1.000000000,
2706,6.849638000,6.841559000,-0.793732584,0.664659619,10.510852814,2.651427269,0.451794922,22.839267731,-0.625000000,-4.500000000,-4.312500000,-89.484146118,18.032287598,-0.710500479,1.000000000,
2707,6.852168000,6.841559000,-0.680799723,0.752888858,10.565660477,4.709468365,-0.325411618,22.519456863,-0.625000000,-4.500000000,-4.312500000,-89.469367981,18.088640213,-0.711325228,1.000000000,
2709,6.857228000,6.841559000,-0.138260096,0.252801478,9.843623161,2.840986967,0.007511167,21.076219559,-0.625000000,-4.500000000,-4.312500000,-89.446121216,18.197471619,-0.715699494,1.000000000,
2711,6.862288000,6.841559000,0.139441624,-0.457070202,8.895203590,-2.029715776,-1.658893824,18.728281021,-0.625000000,-4.500000000,-4.312500000,-89.444313049,18.294380188,-0.709405005,1.000000000,
2713,6.867348000,6.861799000,-0.239234135,-0.437984318,8.904433250,-3.133153677,0.953152061,18.652135849,-0.625000000,-4.500000000,-4.375000000,-89.465614319,18.386091232,-0.715970993,1.000000000,
2715,6.872408000,6.861799000,-0.996760786,0.135861889,9.757534027,-2.091403008,2.320882797,20.808406830,-0.625000000,-4.500000000,-4.375000000,-89.481193542,18.485074997,-0.732953072,1.000000000,
2717,6.877468000,6.861799000,-1.044894934,0.688432515,10.606020927,2.474586487,0.200531632,23.134185791,-0.625000000,-4.500000000,-4.375000000,-89.472717285,18.598941803,-0.741075695,1.000000000,
2719,6.882528000,6.861799000,-0.317017198,0.610088527,10.479722023,3.635846853,-0.014720646,22.737947464,-0.625000000,-4.500000000,-4.375000000,-89.450935364,18.715373993,-0.751164734,1.000000000,
2721,6.887588000,6.882039000,0.358536392,-0.073486574,9.529072762,2.035908699,-1.109150529,18.654390335,-0.625000000,-4.500000000,-4.375000000,-89.433944702,18.812850952,-0.744918823,1.000000000,
2723,6.892648000,6.882039000,0.205278605,-0.564202011,8.659290314,-4.025868893,-1.537348866,19.336048126,-0.625000000,-4.500000000,-4.375000000,-89.442901611,18.910854340,-0.748592973,1.000000000,
2725,6.897708000,6.882039000,-0.337228179,-0.316521078,8.947478294,-3.135435343,4.031326771,20.749128342,-0.625000000,-4.500000000,-4.375000000,-89.466606140,19.009254456,-0.755775511,1.000000000,
2726,6.900238000,6.882039000,-0.473400950,-0.004533444,9.474112511,-2.251662731,6.248928547,21.995805740,-0.625000000,-4.500000000,-4.375000000,-89.474136353,19.064367294,-0.772464871,1.000000000,
2728,6.905298000,6.902279000,-0.201355040,0.524225175,10.596488953,-0.109639108,0.191148415,21.898302078,-0.625000000,-4.500000000,-4.375000000,-89.481651306,19.172891617,-0.782311499,1.000000000,
2730,6.910358000,6.902279000,0.572640061,0.660111547,11.020756721,3.978252172,-0.463268459,21.271631241,-0.562500000,-4.500000000,-4.375000000,-89.458190918,19.283681870,-0.783103883,1.000000000,
2732,6.915418000,6.902279000,0.925377488,0.222000271,10.210549355,2.913472891,-2.709634066,19.876741409,-0.562500000,-4.500000000,-4.375000000,-89.435226440,19.381523132,-0.760388851,1.000000000,
2734,6.920478000,6.902279000,0.421067059,-0.449974507,9.121636391,-1.198831439,-1.902658939,18.184677124,-0.562500000,-4.500000000,-4.375000000,-89.432983398,19.475383759,-0.742026925,1.000000000,
2736,6.925538000,6.922519000,-0.448293954,-0.583614767,8.785637856,-3.492069721,4.091989994,20.900815964,-0.562500000,-4.500000000,-4.375000000,-89.447319031,19.575033188,-0.746384084,1.000000000,
2738,6.930598000,6.922519000,-0.666790962,-0.145311579,9.614607811,-2.475476742,2.285491228,21.226633072,-0.562500000,-4.437500000,-4.375000000,-89.468292236,19.681156158,-0.756764233,1.000000000,
2740,6.935658000,6.922519000,-0.155075699,0.359689355,10.739365578,0.482518017,1.875658751,21.145185471,-0.562500000,-4.437500000,-4.375000000,-89.473854065,19.789379120,-0.767763555,1.000000000,
2741,6.938188000,6.922519000,0.223167345,0.545562685,11.106391907,2.075645924,-3.048749924,19.876434326,-0.562500000,-4.437500000,-4.375000000,-89.469863892,19.838966370,-0.756431282,1.000000000,
2743,6.943248000,6.922519000,0.437501788,0.395576477,10.853797913,4.290577888,-0.942623973,19.834684372,-0.562500000,-4.437500000,-4.375000000,-89.445915222,19.937355042,-0.735823691,1.000000000,
2745,6.948308000,6.942759000,-0.114845879,-0.092883132,9.738823891,1.856833935,-3.472611666,19.008758545,-0.562500000,-4.437500000,-4.375000000,-89.430381775,20.034217834,-0.713265181,1.000000000,
2747,6.953368000,6.942759000,-0.920481324,-0.512249112,8.773723602,-1.960689545,4.173708916,21.518543243,-0.562500000,-4.437500000,-4.375000000,-89.437370300,20.138158798,-0.721137643,1.000000000,
2749,6.958428000,6.942759000,-1.056131482,-0.397808373,8.964058876,-4.154369831,1.455492735,20.896690369,-0.562500000,-4.437500000,-4.375000000,-89.459045410,20.244218826,-0.737669706,1.000000000,
2751,6.963488000,6.942759000,-0.449142158,0.169284865,9.979199409,0.217458844,2.898007393,21.369421005,-0.562500000,-4.437500000,-4.375000000,-89.465446472,20.350433350,-0.759482920,1.000000000,
2753,6.968548000,6.962999000,0.098186463,0.452733666,10.584724426,1.810994744,-3.333058119,20.290555954,-0.500000000,-4.437500000,-4.312500000,-89.456626892,20.452051163,-0.756208420,1.000000000,
2755,6.973608000,6.962999000,-0.033070769,0.350362331,10.241578102,3.504004240,-3.293520451,19.270114899,-0.500000000,-4.437500000,-4.312500000,-89.440628052,20.551452637,-0.745562613,1.000000000,
2757,6.978668000,6.962999000,-0.747979820,-0.118955091,9.216803551,0.183177248,1.845754027,21.086948395,-0.500000000,-4.437500000,-4.312500000,-89.429687500,20.652008057,-0.755130887,1.000000000,
2759,6.983728000,6.962999000,-1.038766742,-0.419135362,8.621062279,-3.722480536,1.625629306,22.087137222,-0.500000000,-4.437500000,-4.312500000,-89.446365356,20.764436722,-0.769297063,1.000000000,
